id,codigo_cie10,nombre,categoria,activo
151,B00.9,"INFECCION DEBIDA AL VIRUS DEL HERPES, NO ESPECIFICADA",B00,True
152,B01,VARICELA,B01,True
153,B01.0,MENINGITIS DEBIDA A VARICELA (G02.0*),B01,True
154,B01.1,ENCEFALITIS DEBIDA A VARICELA (G05.1*),B01,True
155,B01.2,NEUMONIA DEBIDA A VARICELA (J17.1*),B01,True
156,B01.8,VARICELA CON OTRAS COMPLICACIONES,B01,True
157,B01.9,VARICELA SIN COMPLICACIONES,B01,True
158,B02,HERPES ZOSTER,B02,True
159,B02.0,ENCEFALITIS DEBIDA A HERPES ZOSTER (G05.1*),B02,True
160,B02.1,MENINGITIS DEBIDA A HERPES ZOSTER (G02.0*),B02,True
161,B02.2,HERPES ZOSTER CON OTROS COMPROMISOS DEL SISTEMA NERVIOSO,B02,True
162,B02.3,HERPES ZOSTER OCULAR,B02,True
163,B02.7,HERPES ZOSTER DISEMINADO,B02,True
164,B02.8,HERPES ZOSTER CON OTRAS COMPLICACIONES,B02,True
165,B02.9,HERPES ZOSTER SIN COMPLICACIONES,B02,True
166,B03,VIRUELA,B03,True
167,B04,VIRUELA DE LOS MONOS,B04,True
168,B05,SARAMPION,B05,True
169,B05.0,SARAMPION COMPLICADO CON ENCEFALITIS (G05.1*),B05,True
170,B05.1,SARAMPION COMPLICADO CON MENINGITIS (G02.0*),B05,True
171,B05.2,SARAMPION COMPLICADO CON NEUMONIA (J17.1*),B05,True
172,B05.3,SARAMPION COMPLICADO CON OTITIS MEDIA (H67.1*),B05,True
173,B05.4,SARAMPION CON COMPLICACIONES INTESTINALES,B05,True
174,B05.8,SARAMPION CON OTRAS COMPLICACIONES,B05,True
175,B05.9,SARAMPION SIN COMPLICACIONES,B05,True
176,B06,RUBEOLA [SARAMPION ALEMAN],B06,True
177,B06.0,RUBEOLA CON COMPLICACIONES NEUROLOGICAS,B06,True
178,B06.8,RUBEOLA CON OTRAS COMPLICACIONES,B06,True
179,B06.9,RUBEOLA SIN COMPLICACIONES,B06,True
180,B07,VERRUGAS VIRICAS,B07,True
181,B08,"OTRAS INFECCIONES VIRICAS CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS, NO CLASIFICADAS EN OTRA PARTE",B08,True
182,B08.0,OTRAS INFECCIONES DEBIDAS A ORTOPOXVIRUS,B08,True
183,B08.1,MOLUSCO CONTAGIOSO,B08,True
184,B08.2,EXANTEMA SUBITO [SEXTA ENFERMEDAD],B08,True
185,B08.3,ERITEMA INFECCIOSO [QUINTA ENFERMEDAD],B08,True
186,B08.4,ESTOMATITIS VESICULAR ENTEROVIRAL CON EXANTEMA,B08,True
187,B08.5,FARINGITIS VESICULAR ENTEROVIRICA,B08,True
188,B08.8,"OTRAS INFECCIONES VIRALES ESPECIFICADAS, CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS",B08,True
189,B09,"INFECCION VIRAL NO ESPECIFICADA, CARACTERIZADA POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS",B09,True
190,B15,HEPATITIS AGUDA TIPO A,B15,True
191,B15.0,"HEPATITIS AGUDA TIPO A, CON COMA HEPATICO",B15,True
192,B15.9,"HEPATITIS AGUDA TIPO A, SIN COMA HEPATICO",B15,True
193,B16,HEPATITIS AGUDA TIPO B,B16,True
194,B16.0,"HEPATITIS AGUDA TIPO B, CON AGENTE DELTA (COINFECCION), CON COMA HEPATICO",B16,True
195,B16.2,"HEPATITIS AGUDA TIPO B, SIN AGENTE DELTA, CON COMA HEPATICO",B16,True
196,B16.9,"HEPATITIS AGUDA TIPO B, SIN AGENTE DELTA Y SIN COMA HEPATICO",B16,True
197,B17,OTRAS HEPATITIS VIRALES AGUDAS,B17,True
198,B17.0,INFECCION (SUPERINFECCION) AGUDA POR AGENTE DELTA EN EL PORTADOR DE HEPATITIS B,B17,True
199,B17.1,HEPATITIS AGUDA TIPO C,B17,True
200,B17.2,HEPATITIS AGUDA TIPO E,B17,True
201,B17.8,OTRAS HEPATITIS VIRALES AGUDAS ESPECIFICADAS,B17,True
202,B18,HEPATITIS VIRAL CRONICA,B18,True
203,B18.0,"HEPATITIS VIRAL TIPO B CRONICA, CON AGENTE DELTA",B18,True
204,B18.1,"HEPATITIS VIRAL TIPO B CRONICA, SIN AGENTE DELTA",B18,True
205,B18.8,OTRAS HEPATITIS VIRALES CRONICAS,B18,True
206,A00,COLERA,A00,True
207,A00.0,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE",A00,True
208,A00.1,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR",A00,True
209,A00.9,"COLERA, NO ESPECIFICADO",A00,True
210,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,A01,True
211,A01.0,FIEBRE TIFOIDEA,A01,True
212,A01.1,FIEBRE PARATIFOIDEA A,A01,True
213,A01.2,FIEBRE PARATIFOIDEA B,A01,True
214,A01.3,FIEBRE PARATIFOIDEA C,A01,True
215,A01.4,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",A01,True
216,A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,A02,True
217,A02.0,ENTERITIS DEBIDA A SALMONELLA,A02,True
218,A02.1,SEPTICEMIA DEBIDA A SALMONELLA,A02,True
219,A02.2,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,A02,True
220,A02.8,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,A02,True
221,A02.9,"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA",A02,True
222,A03,SHIGELOSIS,A03,True
223,A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,A03,True
224,A03.1,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,A03,True
225,A03.2,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,A03,True
226,A03.3,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,A03,True
227,A03.8,OTRAS SHIGELOSIS,A03,True
228,A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO,A03,True
229,A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,A04,True
230,A04.0,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA,A04,True
231,A04.1,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA,A04,True
232,A04.2,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,A04,True
233,A04.3,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA,A04,True
234,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,A04,True
235,A04.5,ENTERITIS DEBIDA A CAMPYLOBACTER,A04,True
236,A04.6,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,A04,True
237,A04.7,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,A04,True
238,A04.8,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,A04,True
239,A04.9,"INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA",A04,True
240,A05,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,A05,True
241,A05.0,INTOXICACION ALIMENTARIA ESTAFILOCOCICA,A05,True
242,A05.1,BOTULISMO,A05,True
243,A05.2,INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII],A05,True
244,A05.3,INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS,A05,True
245,A05.4,INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS,A05,True
246,A05.8,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS,A05,True
247,A05.9,"INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA",A05,True
248,A06,AMEBIASIS,A06,True
249,A06.0,DISENTERIA AMEBIANA AGUDA,A06,True
250,A06.1,AMEBIASIS INTESTINAL CRONICA,A06,True
251,A06.2,COLITIS AMEBIANA NO DISENTERICA,A06,True
252,A06.3,AMEBOMA INTESTINAL,A06,True
253,A06.4,ABSCESO AMEBIANO DEL HIGADO,A06,True
254,A06.5,ABSCESO AMEBIANO DEL PULMON (J99.8*),A06,True
255,A06.6,ABSCESO AMEBIANO DEL CEREBRO (G07*),A06,True
256,A06.7,AMEBIASIS CUTANEA,A06,True
257,A06.8,INFECCION AMEBIANA DE OTRAS LOCALIZACIONES,A06,True
258,A06.9,"AMEBIASIS, NO ESPECIFICADA",A06,True
259,A07,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,A07,True
260,A07.0,BALANTIDIASIS,A07,True
261,A07.1,GIARDIASIS [LAMBLIASIS],A07,True
262,A07.2,CRIPTOSPORIDIOSIS,A07,True
263,A07.3,ISOSPORIASIS,A07,True
264,A07.8,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS,A07,True
265,A07.9,"ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA",A07,True
266,A08,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,A08,True
267,A08.0,ENTERITIS DEBIDA A ROTAVIRUS,A08,True
268,A08.1,GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK,A08,True
269,A08.2,ENTERITIS DEBIDA A ADENOVIRUS,A08,True
270,A08.3,OTRAS ENTERITIS VIRALES,A08,True
271,A08.4,"INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION",A08,True
272,A08.5,OTRAS INFECCIONES INTESTINALES ESPECIFICADAS,A08,True
273,A09,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,A09,True
274,A15,"TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",A15,True
275,A15.0,"TUBERCULOSIS DEL PULMON, CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO",A15,True
276,A15.1,"TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO",A15,True
277,A15.2,"TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE",A15,True
278,A15.3,"TUBERCULOSIS DEL PULMON, CONFIRMADA POR MEDIOS NO ESPECIFICADOS",A15,True
279,A15.4,"TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",A15,True
280,A15.5,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",A15,True
281,A15.6,"PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",A15,True
282,A15.7,"TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",A15,True
283,A15.8,"OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE",A15,True
284,A15.9,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",A15,True
285,A16,"TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA O HISTOLOGICAMENTE",A16,True
286,A16.0,"TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS",A16,True
287,A16.1,"TUBERCULOSIS DE PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO",A16,True
288,A16.2,"TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",A16,True
289,A16.3,"TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",A16,True
290,A16.4,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",A16,True
291,A16.5,"PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",A16,True
292,A16.7,"TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",A16,True
293,A16.8,"OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION",A16,True
294,A16.9,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",A16,True
295,A17,TUBERCULOSIS DEL SISTEMA NERVIOSO,A17,True
296,A17.0,MENINGITIS TUBERCULOSA (G01*),A17,True
297,A17.1,TUBERCULOMA MENINGEO (G07*),A17,True
298,A17.8,OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO,A17,True
299,A17.9,"TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA (G99.8*)",A17,True
300,A18,TUBERCULOSIS DE OTROS ORGANOS,A18,True
301,A18.0,TUBERCULOSIS DE HUESOS Y ARTICULACIONES,A18,True
302,A18.1,TUBERCULOSIS DEL APARATO GENITOURINARIO,A18,True
303,A18.2,LINFADENOPATIA PERIFERICA TUBERCULOSA,A18,True
304,A18.3,"TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS",A18,True
305,A18.4,TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO,A18,True
306,A18.5,TUBERCULOSIS DEL OJO,A18,True
307,A18.6,TUBERCULOSIS DEL OIDO,A18,True
308,A18.7,TUBERCULOSIS DE GLANDULAS SUPRARRENALES (E35.1*),A18,True
309,A18.8,TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS,A18,True
310,A19,TUBERCULOSIS MILIAR,A19,True
311,A19.0,TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO,A19,True
312,A19.1,TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES,A19,True
313,A19.2,"TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA",A19,True
314,A19.8,OTRAS TUBERCULOSIS MILIARES,A19,True
315,A19.9,"TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION",A19,True
316,A20,PESTE,A20,True
317,A20.0,PESTE BUBONICA,A20,True
318,A20.1,PESTE CELULOCUTANEA,A20,True
319,A20.2,PESTE NEUMONICA,A20,True
320,A20.3,MENINGITIS POR PESTE,A20,True
321,A20.7,PESTE SEPTICEMICA,A20,True
322,A20.8,OTRAS FORMAS DE PESTE,A20,True
323,A20.9,"PESTE, NO ESPECIFICADA",A20,True
324,A21,TULAREMIA,A21,True
325,A21.0,TULAREMIA ULCEROGLANDULAR,A21,True
326,A21.1,TULAREMIA OCULOGLANDULAR,A21,True
327,A21.2,TULAREMIA PULMONAR,A21,True
328,A21.3,TULAREMIA GASTROINTESTINAL,A21,True
329,A21.7,TULAREMIA GENERALIZADA,A21,True
330,A21.8,OTRAS FORMAS DE TULAREMIA,A21,True
331,A21.9,"TULAREMIA, NO ESPECIFICADA",A21,True
332,A22,CARBUNCO [ANTRAX],A22,True
333,A22.0,CARBUNCO CUTANEO,A22,True
